Sep 07 18:04:58.356 DEBG begin change check, db_mod: 0, folder_mod: 1599494585
Sep 07 18:04:58.367 DEBG begin media sync
Sep 07 18:04:58.608 DEBG server usn was 766
Sep 07 18:04:58.608 DEBG differs from local usn 0, fetching changes
Sep 07 18:04:58.608 DEBG fetching record batch, start_usn: 0
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: aa77dac9, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-O.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 5e618187, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-4-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 4545b567, lsha: , fname: Phosphorsäure_-_Phosphoric_acid.svg.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 6865c900, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-2-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: f680b66f, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-2-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: e97e6ac7, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-4-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: bef2e889, lsha: , fname: tmpHW8z9v.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: ae0e6b37, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-3-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: af02fa0d, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-1-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 9909b1b6, lsha: , fname: 868316_25.jpg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 57037a47, lsha: , fname: Hydrogen-cyanide-2D.svg_.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: d390f46f, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-3-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 9a56380f, lsha: , fname: 77b5503cce174396bd849c5207e6dc6e-ao-1-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: e5cfdcae, lsha: , fname: IMG_0118.jpg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 20d225fe, lsha: , fname: 2343555_25.jpg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 3e581845, lsha: , fname: 1280px-Schwefelsäure3.svg.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: b79a5ade, lsha: , fname: Carbonic-acid-2D.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: a57e146c, lsha: , fname: histo_013200_steckbrief.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 0ded1f3a, lsha: , fname: Nitric-acid.png
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: c7b919ac, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-5-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-3-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-1-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 5fdfcd59, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-7-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 0d67e8ba, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-3-Q.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-5-A.svg
Sep 07 18:04:58.775 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-7-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: b2613554, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-1-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a5d045c9, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-6-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 4b997278, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-4-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-2-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: d8bca7b3, lsha: , fname: tmptE32Ot.png
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-6-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: f8811b1e, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-2-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-4-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-8-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 5a58849e, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-O.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: aa55688f, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-8-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6570c528, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-9-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: cd05bec6, lsha: , fname: 4d12370f91d148c08892dd3e262b594c-oa-9-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 75e6bc13, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-1-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a75b4a0e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-7-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a75b4a0e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-5-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: df851d00, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-3-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 27c54c7c, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-7-Q.svg
