nid	mid	fields
1594231490281	1516129351266	Glasgow-Coma-Scale (GCS)	Dient der speziellen Einteilung des SHT (Schädelhirntrauma) und wird bei jeder Akutsituation zur Beurteilung des neurologischen Status verwendet.<div><br></div><div>Bewertet wird die Beeinträchtigung der Vigilanz durch Beobachten der Reaktionen des Patienten beim Augenöffnen, bei verbaler Kommunikation und motorischer Reaktion.</div><div><br></div><div><img src="paste-4040f361a5f3763a28444cd59610289d7abde1e9.jpg"><br></div>
1591013943737	1516129351266	Definition "Odds"	The odds are defined as the probability that the event will occur divided by the probability that the event will <i>not</i> occur.<div><br></div><div><b><u>Example</u></b></div><div>The odds of flipping a coin to heads is 50:50 = 1:1 = 1.0</div>
1591014164998	1516129351266	Methods for computing the CI of a proportion	&nbsp;- The <i>exact method</i> of Clopper and Pearson (<i>not</i> easily computed by hand)<div>&nbsp;- The <i>modified Wald method </i>(easily computed by hand)</div>
1591014333305	1516129351266	How to compute the <i>modified Wald method</i> by hand	<img src="paste-fa5a27dbebdf602226af7e35b0cc56b4b2937201.jpg">
1591014419798	1516129351266	The "rule of three"	<img src="paste-f84368ee695f345836bebe34d5e031f78c499c59.jpg">
1591014495770	1516129351266	Intention to treat	Each subject's survival is analyzed as if he or she received the assigned treatment, even if the treatment was not actually given.
1591014556554	1516129351266	Types of continuous variables	<b><u>Nominal</u></b><div>Discrete variables that can only have a set number of discrete possible values (e.g. color in psychology).</div><div><br></div><div>If there are only 2 possible values, the variable is called <i>binomial</i> (e.g. alive or dead).</div><div><br></div><div><b><u>Ordinal</u></b></div><div>Discrete variables that express rank. The order matters but not the exact value (e.g. pain on a VAS 1-10).</div><div><br></div><div>It doesn't make sense to compute differences or ratios. The median can be computed.</div><div><br></div><div><b><u>Interval</u></b></div><div>Continuous variables. The difference of 1 unit means the same thing all the way along the scale, no matter where you start (e.g. temperature in °C).</div><div><br></div><div>There is <i>no</i> non-arbitrary absolute zero. It doesn't make sense to compute ratios.</div><div><br></div><div><b><u>Ratio</u></b></div><div>Continuous variables. There <i>is</i> a non-arbitrary absolute zero (e.g. temperature in Kelvin). Ratios can be computed.</div><div><br></div><div><img src="paste-ccab30a2c69d98236eebfae0675df333878769fe.jpg"><br></div>
1591015230955	1516129351266	Rule of thumb for interpretation of a SD	About two-thirds of the observations in a population usually lie within the range defined by the mean minus 1 SD to the mean plus 1 SD.
1591015518175	1516129351266	Standard deviation (SD)	<img src="paste-ebcc93a5a429e3bd7c71f57999692216b91e254f.jpg">
1591015579261	1516129351266	Variance	The variance is equal to SD<sup>2</sup>
